project_id,project_name,original_contract_value,contract_date,substantial_completion_date,retention_pct,payment_terms,gc_name,architect,engineer_of_record,original_duration_days,project_type,sov_total_scheduled_value,estimated_labor_cost,estimated_material_cost,estimated_equipment_cost,estimated_sub_cost,total_estimated_cost,total_cos,approved_cos,rejected_cos,total_co_value,approved_co_value,rejected_co_value,upstream_design_cos,co_rejection_rate_pct,upstream_design_co_pct,revised_contract_value,builtin_margin_usd,builtin_margin_pct
PRJ-2018-006,Kansas City Hospital - Mechanical Systems Renovation,10039000,2018-02-17,2019-08-18,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,547,Medium,10039000,4917100,2022200,2458400,597400,9995100,10,8,2,1786300,1227000,559300.0,4.0,20.0,40.0,11266000,43900,0.44
PRJ-2018-007,Portland Corporate Campus - HVAC Systems,18587000,2018-03-31,2019-01-05,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,280,Medium,18587000,9734600,4359300,4055900,1154400,19304200,8,6,2,1682000,1658300,23700.0,4.0,25.0,50.0,20245300,-717200,-3.86
PRJ-2018-008,Louisville High School - New Construction,6212000,2018-02-21,2019-12-04,0.1,Net 30,Skanska USA,HKS,AEI,651,Medium,6212000,3181700,1322200,1531300,414000,6449200,12,12,0,1265300,1265300,,6.0,0.0,50.0,7477300,-237200,-3.82
PRJ-2018-009,Houston Edge Data Center - Thermal Management,14845000,2018-03-18,2019-02-23,0.1,Net 30,Mortenson,SmithGroup,AEI,342,Medium,14845000,7315800,2892000,3480400,857100,14545300,6,6,0,427800,427800,,3.0,0.0,50.0,15272800,299700,2.02
PRJ-2018-010,San Antonio Mixed-Income Housing - Climate Control,12617000,2018-02-04,2018-09-28,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,236,Medium,12617000,5991100,2396900,3058600,623500,12070100,3,2,1,259300,408000,-148700.0,,33.3,0.0,13025000,546900,4.33
PRJ-2018-011,Albuquerque Hospital - Mechanical Systems Renovation,45289000,2018-02-02,2019-02-13,0.1,Net 30,Mortenson,Perkins&Will,ARUP,376,Large,45289000,22739100,9550800,10644700,2207300,45141900,7,4,3,2507000,1044600,1462400.0,1.0,42.9,14.3,46333600,147100,0.32
PRJ-2018-012,Pittsburgh Business Center - MEP Systems,9048000,2018-02-16,2019-07-23,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,522,Medium,9048000,4427700,1892400,2146500,491200,8957800,7,5,2,956300,555300,401000.0,3.0,28.6,42.9,9603300,90200,1.0
PRJ-2018-013,Indianapolis Unified School District - HVAC Modernization,4495000,2018-01-07,2019-09-10,0.1,Net 30,DPR Construction,HOK,AEI,611,Small,4495000,2325100,897500,1110300,210100,4543000,12,6,6,665900,313800,352100.0,1.0,50.0,8.3,4808800,-48000,-1.07
PRJ-2018-014,Indianapolis Cloud Campus Phase 1 - Cooling,11702000,2018-01-20,2019-03-14,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,418,Medium,11702000,6427000,2672500,2813000,735300,12647800,10,6,4,1668400,871400,797000.0,3.0,40.0,30.0,12573400,-945800,-8.08
PRJ-2018-015,Minneapolis Mixed-Income Housing - Climate Control,22510000,2018-02-17,2019-09-14,0.1,Net 30,Skanska USA,HKS,Syska Hennessy,574,Large,22510000,12088700,5014600,6314800,1263900,24682000,18,13,5,5708800,4143500,1565300.0,5.0,27.8,27.8,26653500,-2172000,-9.65
PRJ-2018-016,Houston Surgery Center - Climate Control,20272000,2018-02-27,2019-09-01,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,551,Large,20272000,10148900,4142600,5032300,1255200,20579000,19,15,4,5458800,4255100,1203700.0,8.0,21.1,42.1,24527100,-307000,-1.51
PRJ-2018-017,San Antonio Business Center - MEP Systems,19383000,2018-03-01,2018-12-31,0.1,Net 30,DPR Construction,SmithGroup,ARUP,305,Medium,19383000,10039500,4471900,4594400,1117700,20223500,10,7,3,967800,1269400,-301600.0,3.0,30.0,30.0,20652400,-840500,-4.34
PRJ-2018-018,Las Vegas Unified School District - HVAC Modernization,9820000,2018-02-17,2019-11-04,0.1,Net 30,Turner Construction,SmithGroup,Henderson Engineers,625,Medium,9820000,5117500,2025400,2768600,628500,10540000,10,7,3,1076600,520700,555900.0,2.0,30.0,20.0,10340700,-720000,-7.33
PRJ-2018-019,Oklahoma City Edge Data Center - Thermal Management,19967000,2018-04-01,2020-07-12,0.1,Net 30,Mortenson,HOK,Henderson Engineers,833,Medium,19967000,9643000,3765200,5478800,1032900,19919900,10,7,3,3884500,2044600,1839900.0,5.0,30.0,50.0,22011600,47100,0.24
PRJ-2018-020,Chicago Mixed-Income Housing - Climate Control,8195000,2018-01-28,2019-10-01,0.1,Net 30,Mortenson,SmithGroup,WSP,611,Medium,8195000,4180600,1791700,1910900,487600,8370800,12,10,2,1635600,1441500,194100.0,4.0,16.7,33.3,9636500,-175800,-2.15
PRJ-2018-021,San Antonio Surgery Center - Climate Control,53167000,2018-02-28,2020-01-31,0.1,Net 30,JE Dunn,HKS,ARUP,702,Mega,53167000,26447900,10202900,13547800,2999000,53197600,15,12,3,7070600,5369000,1701600.0,4.0,20.0,26.7,58536000,-30600,-0.06
PRJ-2018-022,Tampa Office Park - Core & Shell MEP,33663000,2018-03-11,2019-04-26,0.1,Net 30,Turner Construction,Gensler,WSP,411,Large,33663000,15808200,6661400,8746000,1940700,33156300,15,10,5,5876900,4652700,1224200.0,3.0,33.3,20.0,38315700,506700,1.51
PRJ-2018-023,Richmond High School - New Construction,8862000,2018-01-27,2019-09-19,0.1,Net 30,DPR Construction,Gensler,Syska Hennessy,600,Medium,8862000,4431300,1817200,2357600,552700,9158800,10,8,2,1148700,770800,377900.0,2.0,20.0,20.0,9632800,-296800,-3.35
PRJ-2018-024,Raleigh Edge Data Center - Thermal Management,20604000,2018-03-04,2019-05-09,0.1,Net 30,JE Dunn,HOK,Henderson Engineers,431,Large,20604000,10943000,4481900,5329200,1330400,22084500,12,9,3,4025000,3171100,853900.0,3.0,25.0,25.0,23775100,-1480500,-7.19
PRJ-2018-025,Portland Senior Living - HVAC Upgrade,19887000,2018-01-03,2020-06-01,0.1,Net 30,Skanska USA,Perkins&Will,ARUP,880,Medium,19887000,10726200,4645400,4627800,1069400,21068800,13,10,3,3190900,2203300,987600.0,3.0,23.1,23.1,22090300,-1181800,-5.94
PRJ-2018-026,Las Vegas Surgery Center - Climate Control,5488000,2018-02-24,2019-10-10,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,593,Medium,5488000,2542900,1153500,1187100,283400,5166900,11,10,1,787200,700500,86700.0,2.0,9.1,18.2,6188500,321100,5.85
PRJ-2018-027,Albuquerque Mixed-Use Tower - Mechanical,14573000,2018-03-04,2020-02-09,0.1,Net 30,Turner Construction,HOK,AEI,707,Medium,14573000,6784600,2715000,3268300,671500,13439400,17,11,6,3182400,2053900,1128500.0,4.0,35.3,23.5,16626900,1133600,7.78
PRJ-2018-028,Louisville Elementary Campus - Climate Systems,10351000,2018-01-08,2019-04-15,0.1,Net 30,Skanska USA,HKS,WSP,462,Medium,10351000,5080700,2091100,2208600,543900,9924300,12,10,2,1104500,896500,208000.0,2.0,16.7,16.7,11247500,426700,4.12
PRJ-2018-029,Kansas City Colocation Facility - HVAC,9526000,2018-02-12,2019-08-10,0.1,Net 30,JE Dunn,Gensler,Syska Hennessy,544,Medium,9526000,4438000,1802600,2686900,567300,9494800,10,9,1,2122000,2096900,25100.0,3.0,10.0,30.0,11622900,31200,0.33
PRJ-2018-030,Portland Mixed-Income Housing - Climate Control,15609000,2018-02-16,2019-04-26,0.1,Net 30,Skanska USA,HKS,ARUP,434,Medium,15609000,8514500,3538900,3943300,952100,16948800,17,15,2,4030200,3209200,821000.0,5.0,11.8,29.4,18818200,-1339800,-8.58
PRJ-2018-031,Kansas City Surgery Center - Climate Control,40498000,2018-01-27,2019-10-18,0.1,Net 30,Skanska USA,HOK,AEI,629,Large,40498000,20041600,8201000,9920900,2903000,41066500,13,7,6,4873400,2347700,2525700.0,6.0,46.2,46.2,42845700,-568500,-1.4
PRJ-2018-032,Sacramento Office Park - Core & Shell MEP,23117000,2018-02-17,2019-03-28,0.1,Net 30,DPR Construction,Gensler,Henderson Engineers,404,Large,23117000,11353900,5258400,6007300,1456700,24076300,17,12,5,5796000,3949700,1846300.0,4.0,29.4,23.5,27066700,-959300,-4.15
PRJ-2018-033,Pittsburgh Middle School - HVAC Systems,12190000,2018-02-20,2019-05-08,0.1,Net 30,Skanska USA,HOK,Syska Hennessy,442,Medium,12190000,6491300,2232000,2850400,718100,12291800,7,6,1,195900,349800,-153900.0,2.0,14.3,28.6,12539800,-101800,-0.84
PRJ-2018-034,Boston Colocation Facility - HVAC,18213000,2018-03-26,2020-04-11,0.1,Net 30,DPR Construction,Perkins&Will,Henderson Engineers,747,Medium,18213000,8521000,3627200,3807000,1129700,17084900,12,8,4,2474900,1725300,749600.0,3.0,33.3,25.0,19938300,1128100,6.19
PRJ-2018-035,Indianapolis Apartment Complex - MEP,11962000,2018-03-30,2019-03-03,0.1,Net 30,Turner Construction,SmithGroup,Syska Hennessy,338,Medium,11962000,6075100,2585900,2881500,752500,12295000,9,6,3,2033900,1522600,511300.0,5.0,33.3,55.6,13484600,-333000,-2.78
PRJ-2018-036,Pittsburgh Medical Campus - New HVAC Installation,30618000,2018-02-20,2019-05-23,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,457,Large,30618000,15119600,6512400,6431100,2060400,30123500,9,8,1,4461800,3747400,714400.0,3.0,11.1,33.3,34365400,494500,1.62
PRJ-2018-037,Albuquerque Business Center - MEP Systems,33532000,2018-02-28,2020-05-11,0.1,Net 30,JE Dunn,HKS,Henderson Engineers,803,Large,33532000,17793100,7034500,9109300,2366000,36302900,18,13,5,8015000,5799600,2215400.0,8.0,27.8,44.4,39331600,-2770900,-8.26
PRJ-2018-038,Columbus Unified School District - HVAC Modernization,10084000,2018-03-16,2018-12-04,0.1,Net 30,JE Dunn,SmithGroup,ARUP,263,Medium,10084000,5512200,2257200,2453100,581900,10804400,10,9,1,1226100,874900,351200.0,3.0,10.0,30.0,10958900,-720400,-7.14
PRJ-2018-039,Albuquerque Data Center - Precision Cooling Systems,5379000,2018-02-16,2019-07-21,0.1,Net 30,Skanska USA,Gensler,ARUP,520,Medium,5379000,2647200,1052700,1378200,330000,5408100,6,3,3,245100,99200,145900.0,2.0,50.0,33.3,5478200,-29100,-0.54
PRJ-2018-040,Sacramento Mixed-Income Housing - Climate Control,20326000,2018-03-14,2019-08-02,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,506,Large,20326000,9323400,3931900,4498300,951200,18704800,11,10,1,2063500,1894500,169000.0,5.0,9.1,45.5,22220500,1621200,7.98
PRJ-2018-041,San Antonio Regional Medical Center - HVAC Upgrade,40791000,2018-01-16,2019-02-23,0.1,Net 30,Skanska USA,HOK,AEI,403,Large,40791000,19703800,7998500,10470600,2585500,40758400,8,8,0,5053800,5053800,,2.0,0.0,25.0,45844800,32600,0.08
PRJ-2018-042,Columbus Office Park - Core & Shell MEP,15625000,2018-01-27,2019-04-04,0.1,Net 30,JE Dunn,HOK,Syska Hennessy,432,Medium,15625000,8227100,3199400,3571800,1014900,16013200,8,5,3,1959100,1268600,690500.0,3.0,37.5,37.5,16893600,-388200,-2.48
PRJ-2018-043,Salt Lake City High School - New Construction,7392000,2018-03-06,2019-07-31,0.1,Net 30,Skanska USA,Perkins&Will,Henderson Engineers,512,Medium,7392000,3832700,1510700,1837800,452500,7633700,19,15,4,2129900,1754600,375300.0,8.0,21.1,42.1,9146600,-241700,-3.27
PRJ-2018-044,Oklahoma City Cloud Campus Phase 1 - Cooling,7204000,2018-01-09,2019-05-21,0.1,Net 30,Mortenson,Perkins&Will,Henderson Engineers,497,Medium,7204000,3651800,1572700,1682900,366100,7273500,11,6,5,1089700,702400,387300.0,3.0,45.5,27.3,7906400,-69500,-0.96
PRJ-2018-045,Cincinnati Apartment Complex - MEP,4201000,2018-02-28,2019-09-21,0.1,Net 30,Skanska USA,Gensler,Syska Hennessy,570,Small,4201000,2146500,946600,1070100,233300,4396500,8,5,3,496500,367600,128900.0,2.0,37.5,25.0,4568600,-195500,-4.65
PRJ-2018-046,Albuquerque Medical Campus - New HVAC Installation,6747000,2018-01-06,2019-01-25,0.1,Net 30,Skanska USA,HOK,WSP,384,Medium,6747000,3032700,1382200,1551900,357800,6324600,10,8,2,1018800,830800,188000.0,4.0,20.0,40.0,7577800,422400,6.26
PRJ-2018-047,Oklahoma City Office Park - Core & Shell MEP,12546000,2018-02-26,2019-03-26,0.1,Net 30,DPR Construction,HKS,WSP,393,Medium,12546000,6690600,2672900,2995700,755100,13114300,11,5,6,1682500,668500,1014000.0,7.0,54.5,63.6,13214500,-568300,-4.53
PRJ-2018-048,Boston Unified School District - HVAC Modernization,6077000,2018-01-24,2019-11-19,0.1,Net 30,DPR Construction,SmithGroup,AEI,664,Medium,6077000,2725800,1286200,1424000,326700,5762700,12,9,3,805600,545200,260400.0,2.0,25.0,16.7,6622200,314300,5.17
PRJ-2018-049,San Antonio Data Center - Precision Cooling Systems,4707000,2018-01-22,2019-06-26,0.1,Net 30,Skanska USA,SmithGroup,AEI,520,Small,4707000,2293300,1019800,1169000,293800,4775900,9,7,2,426400,391700,34700.0,2.0,22.2,22.2,5098700,-68900,-1.46
PRJ-2018-050,Boston Senior Living - HVAC Upgrade,3613000,2018-02-18,2019-07-31,0.1,Net 30,Skanska USA,Gensler,Syska Hennessy,528,Small,3613000,1862900,781600,768300,193400,3606200,8,4,4,411400,334700,76700.0,1.0,50.0,12.5,3947700,6800,0.19
PRJ-2018-051,San Antonio Regional Medical Center - HVAC Upgrade,6433000,2018-03-31,2019-08-28,0.1,Net 30,JE Dunn,HOK,WSP,515,Medium,6433000,3005400,1060500,1492300,418900,5977100,10,8,2,586300,638000,-51700.0,1.0,20.0,10.0,7071000,455900,7.09
PRJ-2018-052,Richmond Mixed-Use Tower - Mechanical,3101000,2018-03-03,2019-05-19,0.1,Net 30,Skanska USA,SmithGroup,AEI,442,Small,3101000,1576900,597300,750600,209000,3133800,12,9,3,414200,246700,167500.0,2.0,25.0,16.7,3347700,-32800,-1.06
PRJ-2018-053,Las Vegas High School - New Construction,3488000,2018-03-22,2019-06-08,0.1,Net 30,Mortenson,Perkins&Will,WSP,443,Small,3488000,1757800,744200,760100,234900,3497000,11,9,2,280900,303500,-22600.0,4.0,18.2,36.4,3791500,-9000,-0.26
PRJ-2018-054,Denver Edge Data Center - Thermal Management,19488000,2018-03-04,2020-05-24,0.1,Net 30,DPR Construction,HOK,Syska Hennessy,812,Medium,19488000,8746900,3565900,4602000,1102700,18017500,18,14,4,3941500,2616600,1324900.0,3.0,22.2,16.7,22104600,1470500,7.55
PRJ-2018-055,Oklahoma City Mixed-Income Housing - Climate Control,5485000,2018-02-09,2020-01-14,0.1,Net 30,JE Dunn,Perkins&Will,AEI,704,Medium,5485000,2586900,1076200,1266900,280600,5210600,14,10,4,1042300,867600,174700.0,2.0,28.6,14.3,6352600,274400,5.0
PRJ-2018-056,Boston Medical Campus - New HVAC Installation,36355000,2018-03-30,2019-07-02,0.1,Net 30,Skanska USA,SmithGroup,Syska Hennessy,459,Large,36355000,16969400,7052300,7745500,1728600,33495800,12,6,6,7271700,3878200,3393500.0,5.0,50.0,41.7,40233200,2859200,7.86
PRJ-2018-057,Sacramento Office Park - Core & Shell MEP,14417000,2018-02-14,2019-09-18,0.1,Net 30,Mortenson,SmithGroup,AEI,581,Medium,14417000,6962300,3227000,3298900,855000,14343200,8,8,0,1011400,1011400,,3.0,0.0,37.5,15428400,73800,0.51
PRJ-2018-058,Boston Middle School - HVAC Systems,5584000,2018-01-19,2018-07-06,0.1,Net 30,DPR Construction,Gensler,AEI,168,Medium,5584000,3003200,1120600,1328400,372300,5824500,3,2,1,-118500,-93900,-24600.0,,33.3,0.0,5490100,-240500,-4.31
PRJ-2018-059,Atlanta Data Center - Precision Cooling Systems,13417000,2018-02-08,2019-09-12,0.1,Net 30,DPR Construction,SmithGroup,AEI,581,Medium,13417000,6649400,2470700,2915700,864100,12899900,14,7,7,1840500,676100,1164400.0,6.0,50.0,42.9,14093100,517100,3.85
PRJ-2018-060,Boston Apartment Complex - MEP,12239000,2018-01-18,2018-11-01,0.1,Net 30,Skanska USA,HOK,WSP,287,Medium,12239000,6101000,2302900,3140800,676000,12220700,6,5,1,384300,258700,125600.0,1.0,16.7,16.7,12497700,18300,0.15
PRJ-2018-061,Las Vegas Hospital - Mechanical Systems Renovation,36618000,2018-02-02,2019-08-04,0.1,Net 30,Mortenson,HOK,Syska Hennessy,548,Large,36618000,19554300,7366500,8972900,1910700,37804400,6,5,1,4066400,2754900,1311500.0,2.0,16.7,33.3,39372900,-1186400,-3.24
PRJ-2018-062,Chicago Business Center - MEP Systems,18069000,2018-01-14,2019-12-10,0.1,Net 30,Turner Construction,Gensler,AEI,695,Medium,18069000,8475700,4232300,4374500,982000,18064500,14,9,5,2836400,1796100,1040300.0,3.0,35.7,21.4,19865100,4500,0.02
PRJ-2018-063,Cincinnati High School - New Construction,5612000,2018-03-17,2019-02-18,0.1,Net 30,Mortenson,HOK,ARUP,338,Medium,5612000,3063400,1224500,1270600,373000,5931500,6,5,1,510400,353800,156600.0,2.0,16.7,33.3,5965800,-319500,-5.69
PRJ-2018-064,Minneapolis Cloud Campus Phase 1 - Cooling,12004000,2018-01-21,2019-07-19,0.1,Net 30,DPR Construction,HKS,Henderson Engineers,544,Medium,12004000,5866000,2422000,3187500,607800,12083300,19,15,4,1881700,1526000,355700.0,4.0,21.1,21.1,13530000,-79300,-0.66
PRJ-2018-065,Richmond Residential Tower - HVAC Systems,10603000,2018-01-29,2019-07-09,0.1,Net 30,Skanska USA,SmithGroup,AEI,526,Medium,10603000,5275200,2115300,2603700,642200,10636400,11,6,5,1477400,959600,517800.0,1.0,45.5,9.1,11562600,-33400,-0.32
PRJ-2018-066,Portland Regional Medical Center - HVAC Upgrade,19638000,2018-03-01,2019-08-28,0.1,Net 30,Skanska USA,SmithGroup,WSP,545,Medium,19638000,9994800,4410800,4736900,1333500,20476000,12,10,2,3421300,3055900,365400.0,4.0,16.7,33.3,22693900,-838000,-4.27
PRJ-2018-067,Nashville Corporate Campus - HVAC Systems,27567000,2018-01-21,2018-08-19,0.1,Net 30,Skanska USA,SmithGroup,Henderson Engineers,210,Large,27567000,14229900,5634600,6465400,1473400,27803300,5,3,2,328200,-153400,481600.0,1.0,40.0,20.0,27413600,-236300,-0.86
PRJ-2018-068,Tampa Unified School District - HVAC Modernization,8544000,2018-02-21,2019-05-09,0.1,Net 30,JE Dunn,SmithGroup,AEI,442,Medium,8544000,4653200,1789200,2155100,479100,9076600,14,9,5,464800,356900,107900.0,4.0,35.7,28.6,8900900,-532600,-6.23
PRJ-2018-069,Boston Colocation Facility - HVAC,15603000,2018-01-30,2019-03-04,0.1,Net 30,Mortenson,SmithGroup,AEI,398,Medium,15603000,8106000,3677000,3665900,904000,16352900,9,9,0,2706100,2706100,,2.0,0.0,22.2,18309100,-749900,-4.81
PRJ-2018-070,Portland Senior Living - HVAC Upgrade,14309000,2018-03-09,2019-05-17,0.1,Net 30,JE Dunn,Perkins&Will,Syska Hennessy,434,Medium,14309000,7629700,3264900,3489800,1033700,15418100,11,10,1,2831700,2490800,340900.0,5.0,9.1,45.5,16799800,-1109100,-7.75
PRJ-2018-071,Atlanta Regional Medical Center - HVAC Upgrade,28100000,2018-02-24,2019-03-23,0.1,Net 30,Mortenson,SmithGroup,Henderson Engineers,392,Large,28100000,14813300,5785600,6917200,1881400,29397500,19,14,5,6388300,5484600,903700.0,5.0,26.3,26.3,33584600,-1297500,-4.62
PRJ-2018-072,Richmond Corporate Campus - HVAC Systems,17167000,2018-01-11,2018-10-19,0.1,Net 30,DPR Construction,HKS,WSP,281,Medium,17167000,8368700,3865400,4362500,944800,17541400,5,5,0,1125200,1125200,,,0.0,0.0,18292200,-374400,-2.18
PRJ-2018-073,Minneapolis Middle School - HVAC Systems,5550000,2018-01-12,2018-07-17,0.1,Net 30,Skanska USA,Gensler,WSP,186,Medium,5550000,2810300,1107500,1417900,332600,5668300,4,3,1,366500,350400,16100.0,3.0,25.0,75.0,5900400,-118300,-2.13
PRJ-2018-074,Chicago Edge Data Center - Thermal Management,4055000,2018-02-19,2019-01-04,0.1,Net 30,JE Dunn,Gensler,Henderson Engineers,319,Small,4055000,2023900,903700,1029900,243900,4201400,9,6,3,589100,399200,189900.0,3.0,33.3,33.3,4454200,-146400,-3.61
PRJ-2018-075,Indianapolis Senior Living - HVAC Upgrade,11890000,2018-02-06,2020-04-12,0.1,Net 30,Skanska USA,HOK,WSP,796,Medium,11890000,5620400,2343900,2803000,617500,11384800,17,12,5,3356000,2301300,1054700.0,1.0,29.4,5.9,14191300,505200,4.25
PRJ-2018-076,Pittsburgh Surgery Center - Climate Control,16224000,2018-02-02,2019-11-17,0.1,Net 30,Turner Construction,Perkins&Will,Syska Hennessy,653,Medium,16224000,8459300,3666100,3768200,887400,16781000,10,7,3,2052200,1411100,641100.0,2.0,30.0,20.0,17635100,-557000,-3.43
PRJ-2018-077,Minneapolis Mixed-Use Tower - Mechanical,4898000,2018-02-22,2019-03-22,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,393,Small,4898000,2303400,1069400,1097600,272500,4742900,11,7,4,1080600,760300,320300.0,4.0,36.4,36.4,5658300,155100,3.17
PRJ-2018-078,Baltimore High School - New Construction,8156000,2018-01-26,2019-09-01,0.1,Net 30,JE Dunn,SmithGroup,ARUP,583,Medium,8156000,3761300,1498500,1982600,489500,7731900,11,8,3,897300,784000,113300.0,4.0,27.3,36.4,8940000,424100,5.2
PRJ-2018-079,Baltimore Colocation Facility - HVAC,16064000,2018-03-09,2019-06-22,0.1,Net 30,Turner Construction,Perkins&Will,AEI,470,Medium,16064000,8154500,3279300,4284400,1071900,16790100,12,9,3,3579100,2767800,811300.0,4.0,25.0,33.3,18831800,-726100,-4.52
PRJ-2018-080,Raleigh Senior Living - HVAC Upgrade,21159000,2018-02-11,2019-06-16,0.1,Net 30,Turner Construction,Perkins&Will,Henderson Engineers,490,Large,21159000,11437200,4908400,5417400,1187600,22950600,12,9,3,3663800,3469000,194800.0,2.0,25.0,16.7,24628000,-1791600,-8.47
PRJ-2019-081,Indianapolis Surgery Center - Climate Control,52999000,2019-02-25,2021-02-24,0.1,Net 30,Turner Construction,Perkins&Will,ARUP,730,Mega,52999000,26472400,10865700,13748900,2957600,54044600,10,8,2,6365000,4659000,1706000.0,1.0,20.0,10.0,57658000,-1045600,-1.97
PRJ-2019-082,Raleigh Business Center - MEP Systems,41115000,2019-03-21,2021-02-02,0.1,Net 30,JE Dunn,HOK,WSP,684,Large,41115000,21508900,9148800,10864100,2613900,44135700,17,12,5,4398500,4122500,276000.0,3.0,29.4,17.6,45237500,-3020700,-7.35
PRJ-2019-083,Cincinnati Elementary Campus - Climate Systems,8483000,2019-01-11,2020-08-08,0.1,Net 30,JE Dunn,SmithGroup,Henderson Engineers,575,Medium,8483000,4592100,1655300,2339800,580200,9167400,8,6,2,736800,700600,36200.0,2.0,25.0,25.0,9183600,-684400,-8.07
PRJ-2019-084,Sacramento Data Center - Precision Cooling Systems,7196000,2019-02-19,2020-04-20,0.1,Net 30,Turner Construction,HOK,ARUP,426,Medium,7196000,3572800,1337700,1639900,434400,6984800,13,9,4,1412300,890300,522000.0,3.0,30.8,23.1,8086300,211200,2.93
PRJ-2019-085,Louisville Residential Tower - HVAC Systems,6578000,2019-03-26,2020-07-06,0.1,Net 30,JE Dunn,Perkins&Will,WSP,468,Medium,6578000,3359400,1447600,1360900,331700,6499600,11,11,0,662600,662600,,4.0,0.0,36.4,7240600,78400,1.19
PRJ-2019-086,Louisville Regional Medical Center - HVAC Upgrade,16463000,2019-03-03,2020-05-23,0.1,Net 30,Turner Construction,Gensler,Syska Hennessy,447,Medium,16463000,8411600,3469900,4120900,993900,16996300,11,8,3,2416600,2154200,262400.0,1.0,27.3,9.1,18617200,-533300,-3.24
