project_id,sov_line_id,line_number,sov_description,scheduled_value,total_billed,pct_complete,balance_to_finish,application_number,period_end,completion_stage,overbilled_flag
PRJ-2021-294,PRJ-2021-294-SOV-04,4,Ductwork - Installation,862900,861400,99.8,1500.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-15,15,Closeout Documentation & Training,84100,82300,97.9,1800.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",164700,161100,97.8,3600.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-03,3,Ductwork - Fabrication,534700,533500,99.8,1200.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-07,7,Equipment - RTUs/AHUs,1889000,1885500,99.8,3500.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1284800,1283600,99.9,1200.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-10,10,Controls - DDC/BAS Installation,1211900,1183900,97.7,28000.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-08,8,Equipment - Chillers/Boilers,2031700,2030400,99.9,1300.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1365500,1364400,99.9,1100.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-10,10,Controls - DDC/BAS Installation,1965900,1919900,97.7,46000.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-11,11,Controls - Programming & Commissioning,950000,926600,97.5,23400.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-12,12,Insulation,955700,932000,97.5,23700.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",627300,613400,97.8,13900.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-14,14,Startup & Commissioning Support,565500,553300,97.8,12200.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-15,15,Closeout Documentation & Training,420100,411300,97.9,8800.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-11,11,Controls - Programming & Commissioning,471000,459900,97.6,11100.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-12,12,Insulation,619300,604600,97.6,14700.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",480400,469400,97.7,11000.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-14,14,Startup & Commissioning Support,377200,369200,97.9,8000.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-15,15,Closeout Documentation & Training,171200,167500,97.8,3700.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-08,8,Equipment - Chillers/Boilers,1128000,1125600,99.8,2400.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-06,6,Piping - Refrigerant,688400,687100,99.8,1300.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-12,12,Insulation,193600,189000,97.6,4600.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-05,5,Piping - Hydronic Systems,1280600,1279500,99.9,1100.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-11,11,Controls - Programming & Commissioning,199600,194900,97.6,4700.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-10,10,Controls - DDC/BAS Installation,322900,314900,97.5,8000.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-09,9,Equipment - Terminal Units (VAV/FCU),386600,386300,99.9,300.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-08,8,Equipment - Chillers/Boilers,474500,473900,99.9,600.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-07,7,Equipment - RTUs/AHUs,554500,554200,99.9,300.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-06,6,Piping - Refrigerant,197500,197100,99.8,400.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-15,15,Closeout Documentation & Training,271400,265500,97.8,5900.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-05,5,Piping - Hydronic Systems,479800,479500,99.9,300.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-04,4,Ductwork - Installation,485900,484900,99.8,1000.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2020-203,PRJ-2020-203-SOV-03,3,Ductwork - Fabrication,414000,413700,99.9,300.0,29,2022-06-04,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-05,5,Piping - Hydronic Systems,2630400,2626700,99.9,3700.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-06,6,Piping - Refrigerant,1316700,1314200,99.8,2500.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2022-346,PRJ-2022-346-SOV-07,7,Equipment - RTUs/AHUs,2874300,2867800,99.8,6500.0,29,2024-07-13,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-03,3,Ductwork - Fabrication,1334700,1333400,99.9,1300.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2020-183,PRJ-2020-183-SOV-04,4,Ductwork - Installation,1776800,1773000,99.8,3800.0,29,2022-06-28,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-03,3,Ductwork - Fabrication,1933600,1932400,99.9,1200.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2018-037,PRJ-2018-037-SOV-07,7,Equipment - RTUs/AHUs,4570300,4561400,99.8,8900.0,29,2020-07-12,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-12,12,Insulation,367500,359000,97.7,8500.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-11,11,Controls - Programming & Commissioning,877100,856200,97.6,20900.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",129900,127100,97.8,2800.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-14,14,Startup & Commissioning Support,117400,114800,97.8,2600.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-12,12,Insulation,873400,853200,97.7,20200.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-08,8,Equipment - Chillers/Boilers,565200,564700,99.9,500.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-15,15,Closeout Documentation & Training,81400,79500,97.7,1900.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-11,11,Controls - Programming & Commissioning,580200,566800,97.7,13400.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-15,15,Closeout Documentation & Training,114200,111800,97.9,2400.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-14,14,Startup & Commissioning Support,185000,181000,97.8,4000.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",256600,250900,97.8,5700.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-11,11,Controls - Programming & Commissioning,266900,260400,97.6,6500.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-10,10,Controls - DDC/BAS Installation,579200,565600,97.7,13600.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-09,9,Equipment - Terminal Units (VAV/FCU),695200,693600,99.8,1600.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2021-294,PRJ-2021-294-SOV-08,8,Equipment - Chillers/Boilers,848000,847100,99.9,900.0,29,2023-07-16,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-06,6,Piping - Refrigerant,757800,757000,99.9,800.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-07,7,Equipment - RTUs/AHUs,2582800,2577000,99.8,5800.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-12,12,Insulation,810500,791700,97.7,18800.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",524100,513100,97.9,11000.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-14,14,Startup & Commissioning Support,421300,412100,97.8,9200.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-15,15,Closeout Documentation & Training,241400,236200,97.8,5200.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-08,8,Equipment - Chillers/Boilers,2173000,2170900,99.9,2100.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1567100,1563800,99.8,3300.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-12,12,Insulation,257200,250800,97.5,6400.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-10,10,Controls - DDC/BAS Installation,1143600,1116100,97.6,27500.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-10,10,Controls - DDC/BAS Installation,1819500,1776700,97.6,42800.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-06,6,Piping - Refrigerant,262100,261900,99.9,200.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-03,3,Ductwork - Fabrication,1659900,1656000,99.8,3900.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1567600,1566800,99.9,800.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-07,7,Equipment - RTUs/AHUs,688400,687800,99.9,600.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-09,9,Equipment - Terminal Units (VAV/FCU),432500,432100,99.9,400.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-04,4,Ductwork - Installation,1929100,1927700,99.9,1400.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-05,5,Piping - Hydronic Systems,1703600,1701100,99.9,2500.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2022-339,PRJ-2022-339-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",651300,636500,97.7,14800.0,29,2024-07-07,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-10,10,Controls - DDC/BAS Installation,486900,475200,97.6,11700.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-11,11,Controls - Programming & Commissioning,187100,182400,97.5,4700.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-05,5,Piping - Hydronic Systems,576300,575300,99.8,1000.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2021-315,PRJ-2021-315-SOV-04,4,Ductwork - Installation,661100,660100,99.8,1000.0,29,2023-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-06,6,Piping - Refrigerant,837000,835100,99.8,1900.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-07,7,Equipment - RTUs/AHUs,3131000,3127600,99.9,3400.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-019,PRJ-2018-019-SOV-08,8,Equipment - Chillers/Boilers,2463300,2461300,99.9,2000.0,29,2020-08-13,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-15,15,Closeout Documentation & Training,262500,256600,97.8,5900.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-11,11,Controls - Programming & Commissioning,668800,652200,97.5,16600.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-10,10,Controls - DDC/BAS Installation,1140000,1111400,97.5,28600.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1094600,1092100,99.8,2500.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-08,8,Equipment - Chillers/Boilers,2306100,2304700,99.9,1400.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-07,7,Equipment - RTUs/AHUs,2176100,2173500,99.9,2600.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-05,5,Piping - Hydronic Systems,1911000,1908200,99.9,2800.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-04,4,Ductwork - Installation,2223000,2219500,99.8,3500.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-06,6,Piping - Refrigerant,947700,946700,99.9,1000.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-15,15,Closeout Documentation & Training,339200,331800,97.8,7400.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",720200,704100,97.8,16100.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-05,5,Piping - Hydronic Systems,1640100,1638200,99.9,1900.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-06,6,Piping - Refrigerant,846500,844700,99.8,1800.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-07,7,Equipment - RTUs/AHUs,2985000,2983300,99.9,1700.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-08,8,Equipment - Chillers/Boilers,2124800,2120700,99.8,4100.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1729800,1726700,99.8,3100.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-10,10,Controls - DDC/BAS Installation,1750000,1708500,97.6,41500.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-11,11,Controls - Programming & Commissioning,786500,768100,97.7,18400.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-12,12,Insulation,875200,853000,97.5,22200.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",424500,415100,97.8,9400.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-14,14,Startup & Commissioning Support,374900,367000,97.9,7900.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-04,4,Ductwork - Installation,1942300,1938300,99.8,4000.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2021-264,PRJ-2021-264-SOV-03,3,Ductwork - Fabrication,2147300,2144700,99.9,2600.0,28,2023-07-05,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-12,12,Insulation,931900,909600,97.6,22300.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",636600,622100,97.7,14500.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-14,14,Startup & Commissioning Support,395500,386900,97.8,8600.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-12,12,Insulation,769800,750500,97.5,19300.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-034,PRJ-2018-034-SOV-14,14,Startup & Commissioning Support,396000,387400,97.8,8600.0,28,2020-07-08,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-11,11,Controls - Programming & Commissioning,657000,641200,97.6,15800.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-15,15,Closeout Documentation & Training,146000,142800,97.8,3200.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-03,3,Ductwork - Fabrication,683700,682200,99.8,1500.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-04,4,Ductwork - Installation,885300,884300,99.9,1000.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-05,5,Piping - Hydronic Systems,651500,651100,99.9,400.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-06,6,Piping - Refrigerant,459800,458900,99.8,900.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-07,7,Equipment - RTUs/AHUs,1186700,1184600,99.8,2100.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-08,8,Equipment - Chillers/Boilers,821800,821300,99.9,500.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-09,9,Equipment - Terminal Units (VAV/FCU),641000,639400,99.8,1600.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-10,10,Controls - DDC/BAS Installation,770200,751000,97.5,19200.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-11,11,Controls - Programming & Commissioning,378500,369400,97.6,9100.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-12,12,Insulation,458500,447500,97.6,11000.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",205200,200700,97.8,4500.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-366,PRJ-2022-366-SOV-14,14,Startup & Commissioning Support,241300,236100,97.8,5200.0,28,2024-07-04,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-11,11,Controls - Programming & Commissioning,964200,941300,97.6,22900.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-10,10,Controls - DDC/BAS Installation,2655300,2591800,97.6,63500.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1763100,1759400,99.8,3700.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-08,8,Equipment - Chillers/Boilers,3386000,3378900,99.8,7100.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-07,7,Equipment - RTUs/AHUs,4008400,4004300,99.9,4100.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-06,6,Piping - Refrigerant,1913700,1910300,99.8,3400.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-05,5,Piping - Hydronic Systems,2334600,2333400,99.9,1200.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-04,4,Ductwork - Installation,3423400,3420400,99.9,3000.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2022-327,PRJ-2022-327-SOV-03,3,Ductwork - Fabrication,2249800,2247400,99.9,2400.0,28,2024-05-25,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-03,3,Ductwork - Fabrication,1499600,1496300,99.8,3300.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-04,4,Ductwork - Installation,2201400,2198800,99.9,2600.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-05,5,Piping - Hydronic Systems,1654200,1650800,99.8,3400.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-06,6,Piping - Refrigerant,890000,888600,99.8,1400.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-07,7,Equipment - RTUs/AHUs,2991000,2984600,99.8,6400.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-08,8,Equipment - Chillers/Boilers,2535700,2529700,99.8,6000.0,28,2020-06-16,Near complete (75–99%),False
PRJ-2020-202,PRJ-2020-202-SOV-04,4,Ductwork - Installation,3455800,3451800,99.9,4000.0,28,2022-05-20,Near complete (75–99%),False
PRJ-2020-202,PRJ-2020-202-SOV-03,3,Ductwork - Fabrication,2652100,2646600,99.8,5500.0,28,2022-05-20,Near complete (75–99%),False
PRJ-2018-054,PRJ-2018-054-SOV-09,9,Equipment - Terminal Units (VAV/FCU),1154900,1152300,99.8,2600.0,28,2020-06-16,Near complete (75–99%),False
