project_id,sov_line_id,line_number,description,application_number,scheduled_value,previous_billed,this_period,total_billed,pct_complete,pct_manually_adjusted,balance_to_finish
PRJ-2018-002,PRJ-2018-002-SOV-03,3,Ductwork - Fabrication,19,3379100,3313400,59800,3373200,99.8,True,5900
PRJ-2018-002,PRJ-2018-002-SOV-04,4,Ductwork - Installation,19,3084900,3024900,50300,3075200,99.7,True,9700
PRJ-2018-002,PRJ-2018-002-SOV-05,5,Piping - Hydronic Systems,19,2565800,2516000,44400,2560400,99.8,True,5400
PRJ-2018-002,PRJ-2018-002-SOV-06,6,Piping - Refrigerant,19,1577100,1547300,24700,1572000,99.7,True,5100
PRJ-2018-002,PRJ-2018-002-SOV-07,7,Equipment - RTUs/AHUs,19,4032000,3956000,70800,4026800,99.9,True,5200
PRJ-2018-002,PRJ-2018-002-SOV-08,8,Equipment - Chillers/Boilers,19,2652000,2601500,44900,2646400,99.8,True,5600
PRJ-2018-002,PRJ-2018-002-SOV-09,9,Equipment - Terminal Units (VAV/FCU),19,2205000,2163500,38600,2202100,99.9,True,2900
PRJ-2018-002,PRJ-2018-002-SOV-10,10,Controls - DDC/BAS Installation,19,2768600,2646300,52700,2699000,97.5,True,69600
PRJ-2018-002,PRJ-2018-002-SOV-11,11,Controls - Programming & Commissioning,19,1297300,1239400,26500,1265900,97.6,True,31400
PRJ-2018-002,PRJ-2018-002-SOV-12,12,Insulation,19,1415600,1352800,26000,1378800,97.4,False,36800
PRJ-2018-002,PRJ-2018-002-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",19,699000,666600,15800,682400,97.6,True,16600
PRJ-2018-002,PRJ-2018-002-SOV-14,14,Startup & Commissioning Support,19,598000,571300,14000,585300,97.9,True,12700
PRJ-2018-002,PRJ-2018-002-SOV-15,15,Closeout Documentation & Training,19,470600,449600,9900,459500,97.6,True,11100
PRJ-2018-003,PRJ-2018-003-SOV-01,1,General Conditions & Project Management,13,846400,846300,100,846400,100.0,False,0
PRJ-2018-003,PRJ-2018-003-SOV-02,2,Submittals & Engineering,12,227600,227000,600,227600,100.0,False,0
PRJ-2018-003,PRJ-2018-003-SOV-03,3,Ductwork - Fabrication,17,1127700,1102000,24800,1126800,99.9,True,900
PRJ-2018-003,PRJ-2018-003-SOV-04,4,Ductwork - Installation,17,1319900,1292000,26300,1318300,99.9,True,1600
PRJ-2018-003,PRJ-2018-003-SOV-05,5,Piping - Hydronic Systems,17,1090900,1066200,22900,1089100,99.8,True,1800
PRJ-2018-003,PRJ-2018-003-SOV-06,6,Piping - Refrigerant,17,720200,703300,15800,719100,99.8,True,1100
PRJ-2018-003,PRJ-2018-003-SOV-07,7,Equipment - RTUs/AHUs,17,1413900,1381400,29400,1410800,99.8,True,3100
PRJ-2018-003,PRJ-2018-003-SOV-08,8,Equipment - Chillers/Boilers,17,1571200,1537100,30400,1567500,99.8,True,3700
PRJ-2018-003,PRJ-2018-003-SOV-09,9,Equipment - Terminal Units (VAV/FCU),17,967000,946300,19900,966200,99.9,True,800
PRJ-2018-003,PRJ-2018-003-SOV-10,10,Controls - DDC/BAS Installation,17,704900,671800,16600,688400,97.7,True,16500
PRJ-2018-003,PRJ-2018-003-SOV-11,11,Controls - Programming & Commissioning,17,349500,332500,8400,340900,97.5,True,8600
PRJ-2018-003,PRJ-2018-003-SOV-12,12,Insulation,17,622600,592400,15500,607900,97.6,True,14700
PRJ-2018-003,PRJ-2018-003-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",17,381100,361300,11500,372800,97.8,True,8300
PRJ-2018-003,PRJ-2018-003-SOV-14,14,Startup & Commissioning Support,17,290000,274800,9100,283900,97.9,False,6100
PRJ-2018-003,PRJ-2018-003-SOV-15,15,Closeout Documentation & Training,17,204100,193800,6000,199800,97.9,False,4300
PRJ-2018-004,PRJ-2018-004-SOV-01,1,General Conditions & Project Management,14,910000,909300,700,910000,100.0,False,0
PRJ-2018-004,PRJ-2018-004-SOV-02,2,Submittals & Engineering,14,281600,281400,200,281600,100.0,False,0
PRJ-2018-004,PRJ-2018-004-SOV-03,3,Ductwork - Fabrication,18,975600,955500,19200,974700,99.9,False,900
PRJ-2018-004,PRJ-2018-004-SOV-04,4,Ductwork - Installation,18,1144000,1120400,19700,1140100,99.7,True,3900
PRJ-2018-004,PRJ-2018-004-SOV-05,5,Piping - Hydronic Systems,18,1122100,1099700,21200,1120900,99.9,False,1200
PRJ-2018-004,PRJ-2018-004-SOV-06,6,Piping - Refrigerant,18,479700,469500,9300,478800,99.8,True,900
PRJ-2018-004,PRJ-2018-004-SOV-07,7,Equipment - RTUs/AHUs,18,1829000,1792000,33500,1825500,99.8,False,3500
PRJ-2018-004,PRJ-2018-004-SOV-08,8,Equipment - Chillers/Boilers,18,1240300,1215000,22700,1237700,99.8,False,2600
PRJ-2018-004,PRJ-2018-004-SOV-09,9,Equipment - Terminal Units (VAV/FCU),18,668800,655300,11400,666700,99.7,True,2100
PRJ-2018-004,PRJ-2018-004-SOV-10,10,Controls - DDC/BAS Installation,18,901000,858800,18400,877200,97.4,True,23800
PRJ-2018-004,PRJ-2018-004-SOV-11,11,Controls - Programming & Commissioning,18,386000,368400,7500,375900,97.4,True,10100
PRJ-2018-004,PRJ-2018-004-SOV-12,12,Insulation,18,511100,487800,11300,499100,97.7,True,12000
PRJ-2018-004,PRJ-2018-004-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",18,407900,387700,11300,399000,97.8,True,8900
PRJ-2018-004,PRJ-2018-004-SOV-14,14,Startup & Commissioning Support,18,247500,235600,6600,242200,97.9,True,5300
PRJ-2018-004,PRJ-2018-004-SOV-15,15,Closeout Documentation & Training,18,116400,110700,3100,113800,97.8,True,2600
PRJ-2018-005,PRJ-2018-005-SOV-01,1,General Conditions & Project Management,9,602100,601700,400,602100,100.0,False,0
PRJ-2018-005,PRJ-2018-005-SOV-02,2,Submittals & Engineering,10,213900,213800,100,213900,100.0,False,0
PRJ-2018-005,PRJ-2018-005-SOV-03,3,Ductwork - Fabrication,11,837900,809500,26000,835500,99.7,True,2400
PRJ-2018-005,PRJ-2018-005-SOV-04,4,Ductwork - Installation,11,897200,866300,27200,893500,99.6,True,3700
PRJ-2018-005,PRJ-2018-005-SOV-05,5,Piping - Hydronic Systems,11,764400,738200,22200,760400,99.5,True,4000
PRJ-2018-005,PRJ-2018-005-SOV-06,6,Piping - Refrigerant,11,433800,418700,12800,431500,99.5,True,2300
PRJ-2018-005,PRJ-2018-005-SOV-07,7,Equipment - RTUs/AHUs,11,1047000,1007700,36200,1043900,99.7,False,3100
PRJ-2018-005,PRJ-2018-005-SOV-08,8,Equipment - Chillers/Boilers,11,823100,795000,24400,819400,99.6,True,3700
PRJ-2018-005,PRJ-2018-005-SOV-09,9,Equipment - Terminal Units (VAV/FCU),11,519400,500600,18100,518700,99.9,True,700
PRJ-2018-005,PRJ-2018-005-SOV-10,10,Controls - DDC/BAS Installation,11,463600,434600,18200,452800,97.7,True,10800
PRJ-2018-005,PRJ-2018-005-SOV-11,11,Controls - Programming & Commissioning,11,231900,217400,8000,225400,97.2,False,6500
PRJ-2018-005,PRJ-2018-005-SOV-12,12,Insulation,11,361100,338800,12700,351500,97.3,True,9600
PRJ-2018-005,PRJ-2018-005-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",11,153200,142700,6300,149000,97.3,True,4200
PRJ-2018-005,PRJ-2018-005-SOV-14,14,Startup & Commissioning Support,11,211800,197000,9000,206000,97.3,True,5800
PRJ-2018-005,PRJ-2018-005-SOV-15,15,Closeout Documentation & Training,11,139600,130200,5800,136000,97.4,True,3600
PRJ-2018-006,PRJ-2018-006-SOV-01,1,General Conditions & Project Management,15,698900,698800,100,698900,100.0,False,0
PRJ-2018-006,PRJ-2018-006-SOV-02,2,Submittals & Engineering,14,283100,282500,600,283100,100.0,False,0
PRJ-2018-006,PRJ-2018-006-SOV-03,3,Ductwork - Fabrication,19,830800,816100,13700,829800,99.9,True,1000
PRJ-2018-006,PRJ-2018-006-SOV-04,4,Ductwork - Installation,19,1055200,1035000,19300,1054300,99.9,True,900
PRJ-2018-006,PRJ-2018-006-SOV-05,5,Piping - Hydronic Systems,19,894300,877300,14900,892200,99.8,True,2100
PRJ-2018-006,PRJ-2018-006-SOV-06,6,Piping - Refrigerant,19,602600,592500,9400,601900,99.9,True,700
PRJ-2018-006,PRJ-2018-006-SOV-07,7,Equipment - RTUs/AHUs,19,1380600,1356800,22600,1379400,99.9,True,1200
PRJ-2018-006,PRJ-2018-006-SOV-08,8,Equipment - Chillers/Boilers,19,1190100,1166800,22300,1189100,99.9,True,1000
PRJ-2018-006,PRJ-2018-006-SOV-09,9,Equipment - Terminal Units (VAV/FCU),19,785000,769900,12600,782500,99.7,True,2500
PRJ-2018-006,PRJ-2018-006-SOV-10,10,Controls - DDC/BAS Installation,19,725300,693300,13200,706500,97.4,False,18800
PRJ-2018-006,PRJ-2018-006-SOV-11,11,Controls - Programming & Commissioning,19,431200,412600,7600,420200,97.4,True,11000
PRJ-2018-006,PRJ-2018-006-SOV-12,12,Insulation,19,550900,526500,10600,537100,97.5,False,13800
PRJ-2018-006,PRJ-2018-006-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",19,237000,226000,5400,231400,97.6,True,5600
PRJ-2018-006,PRJ-2018-006-SOV-14,14,Startup & Commissioning Support,19,254000,242000,6300,248300,97.8,True,5700
PRJ-2018-006,PRJ-2018-006-SOV-15,15,Closeout Documentation & Training,19,120000,114400,3000,117400,97.8,True,2600
PRJ-2018-007,PRJ-2018-007-SOV-01,1,General Conditions & Project Management,11,1525500,1525400,100,1525500,100.0,False,0
PRJ-2018-007,PRJ-2018-007-SOV-02,2,Submittals & Engineering,10,628500,628300,200,628500,100.0,False,0
PRJ-2018-007,PRJ-2018-007-SOV-03,3,Ductwork - Fabrication,11,1429700,1376600,45300,1421900,99.5,True,7800
PRJ-2018-007,PRJ-2018-007-SOV-04,4,Ductwork - Installation,11,2225100,2147600,66100,2213700,99.5,True,11400
PRJ-2018-007,PRJ-2018-007-SOV-05,5,Piping - Hydronic Systems,11,1832500,1763800,64900,1828700,99.8,False,3800
PRJ-2018-007,PRJ-2018-007-SOV-06,6,Piping - Refrigerant,11,1158000,1117000,34800,1151800,99.5,True,6200
PRJ-2018-007,PRJ-2018-007-SOV-07,7,Equipment - RTUs/AHUs,11,2147700,2070500,76000,2146500,99.9,True,1200
PRJ-2018-007,PRJ-2018-007-SOV-08,8,Equipment - Chillers/Boilers,11,1998700,1926300,69500,1995800,99.9,True,2900
PRJ-2018-007,PRJ-2018-007-SOV-09,9,Equipment - Terminal Units (VAV/FCU),11,1287100,1240800,41500,1282300,99.6,True,4800
PRJ-2018-007,PRJ-2018-007-SOV-10,10,Controls - DDC/BAS Installation,11,1333500,1247100,50100,1297200,97.3,True,36300
PRJ-2018-007,PRJ-2018-007-SOV-11,11,Controls - Programming & Commissioning,11,862100,808700,32800,841500,97.6,True,20600
PRJ-2018-007,PRJ-2018-007-SOV-12,12,Insulation,11,797200,748500,27400,775900,97.3,True,21300
PRJ-2018-007,PRJ-2018-007-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",11,645500,599700,29000,628700,97.4,False,16800
PRJ-2018-007,PRJ-2018-007-SOV-14,14,Startup & Commissioning Support,11,467100,433700,20600,454300,97.3,True,12800
PRJ-2018-007,PRJ-2018-007-SOV-15,15,Closeout Documentation & Training,11,248800,232100,10700,242800,97.6,True,6000
PRJ-2018-008,PRJ-2018-008-SOV-01,1,General Conditions & Project Management,18,440400,440300,100,440400,100.0,False,0
PRJ-2018-008,PRJ-2018-008-SOV-02,2,Submittals & Engineering,17,197900,197700,200,197900,100.0,False,0
PRJ-2018-008,PRJ-2018-008-SOV-03,3,Ductwork - Fabrication,24,621400,611600,8900,620500,99.9,True,900
PRJ-2018-008,PRJ-2018-008-SOV-04,4,Ductwork - Installation,24,630300,620900,8300,629200,99.8,True,1100
PRJ-2018-008,PRJ-2018-008-SOV-05,5,Piping - Hydronic Systems,24,537400,528800,7600,536400,99.8,True,1000
PRJ-2018-008,PRJ-2018-008-SOV-06,6,Piping - Refrigerant,24,246500,242800,3100,245900,99.8,True,600
PRJ-2018-008,PRJ-2018-008-SOV-07,7,Equipment - RTUs/AHUs,24,1034400,1018500,13300,1031800,99.7,True,2600
PRJ-2018-008,PRJ-2018-008-SOV-08,8,Equipment - Chillers/Boilers,24,460700,453400,6500,459900,99.8,True,800
PRJ-2018-008,PRJ-2018-008-SOV-09,9,Equipment - Terminal Units (VAV/FCU),24,555500,546800,7200,554000,99.7,True,1500
PRJ-2018-008,PRJ-2018-008-SOV-10,10,Controls - DDC/BAS Installation,24,486900,467100,8100,475200,97.6,False,11700
PRJ-2018-008,PRJ-2018-008-SOV-11,11,Controls - Programming & Commissioning,24,246600,236400,4000,240400,97.5,True,6200
PRJ-2018-008,PRJ-2018-008-SOV-12,12,Insulation,24,333500,319700,5400,325100,97.5,True,8400
PRJ-2018-008,PRJ-2018-008-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",24,180200,172700,3300,176000,97.7,True,4200
PRJ-2018-008,PRJ-2018-008-SOV-14,14,Startup & Commissioning Support,24,138800,132900,2800,135700,97.8,True,3100
PRJ-2018-008,PRJ-2018-008-SOV-15,15,Closeout Documentation & Training,24,101500,97100,2100,99200,97.7,True,2300
PRJ-2018-009,PRJ-2018-009-SOV-01,1,General Conditions & Project Management,11,1221900,1221500,400,1221900,100.0,False,0
PRJ-2018-009,PRJ-2018-009-SOV-02,2,Submittals & Engineering,11,293600,293500,100,293600,100.0,False,0
PRJ-2018-009,PRJ-2018-009-SOV-03,3,Ductwork - Fabrication,13,1207300,1173300,29800,1203100,99.7,True,4200
PRJ-2018-009,PRJ-2018-009-SOV-04,4,Ductwork - Installation,13,1806400,1755600,42900,1798500,99.6,True,7900
PRJ-2018-009,PRJ-2018-009-SOV-05,5,Piping - Hydronic Systems,13,1502100,1477000,24300,1501300,99.9,True,800
PRJ-2018-009,PRJ-2018-009-SOV-06,6,Piping - Refrigerant,13,838800,823700,13200,836900,99.8,True,1900
PRJ-2018-009,PRJ-2018-009-SOV-07,7,Equipment - RTUs/AHUs,13,2346900,2298500,45400,2343900,99.9,True,3000
PRJ-2018-009,PRJ-2018-009-SOV-08,8,Equipment - Chillers/Boilers,13,1321900,1289100,29300,1318400,99.7,True,3500
PRJ-2018-009,PRJ-2018-009-SOV-09,9,Equipment - Terminal Units (VAV/FCU),13,1049000,1019600,26000,1045600,99.7,True,3400
PRJ-2018-009,PRJ-2018-009-SOV-10,10,Controls - DDC/BAS Installation,13,1142500,1081100,30600,1111700,97.3,False,30800
PRJ-2018-009,PRJ-2018-009-SOV-11,11,Controls - Programming & Commissioning,13,472400,450600,10500,461100,97.6,False,11300
PRJ-2018-009,PRJ-2018-009-SOV-12,12,Insulation,13,707400,669700,20800,690500,97.6,True,16900
PRJ-2018-009,PRJ-2018-009-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",13,399200,376900,12200,389100,97.5,True,10100
PRJ-2018-009,PRJ-2018-009-SOV-14,14,Startup & Commissioning Support,13,352200,334200,10400,344600,97.8,True,7600
PRJ-2018-009,PRJ-2018-009-SOV-15,15,Closeout Documentation & Training,13,183400,173000,6000,179000,97.6,False,4400
PRJ-2018-010,PRJ-2018-010-SOV-01,1,General Conditions & Project Management,9,953100,953000,100,953100,100.0,False,0
PRJ-2018-010,PRJ-2018-010-SOV-02,2,Submittals & Engineering,8,248600,248000,600,248600,100.0,False,0
PRJ-2018-010,PRJ-2018-010-SOV-03,3,Ductwork - Fabrication,9,1133400,1076600,53900,1130500,99.7,True,2900
PRJ-2018-010,PRJ-2018-010-SOV-04,4,Ductwork - Installation,9,1593000,1515700,75800,1591500,99.9,False,1500
PRJ-2018-010,PRJ-2018-010-SOV-05,5,Piping - Hydronic Systems,9,1081600,1031700,45800,1077500,99.6,True,4100
PRJ-2018-010,PRJ-2018-010-SOV-06,6,Piping - Refrigerant,9,605600,576000,28500,604500,99.8,True,1100
PRJ-2018-010,PRJ-2018-010-SOV-07,7,Equipment - RTUs/AHUs,9,1773100,1697300,71400,1768700,99.8,True,4400
PRJ-2018-010,PRJ-2018-010-SOV-08,8,Equipment - Chillers/Boilers,9,1304000,1236400,61900,1298300,99.6,True,5700
PRJ-2018-010,PRJ-2018-010-SOV-09,9,Equipment - Terminal Units (VAV/FCU),9,1055000,1008500,39700,1048200,99.4,True,6800
PRJ-2018-010,PRJ-2018-010-SOV-10,10,Controls - DDC/BAS Installation,9,989100,918500,45400,963900,97.5,True,25200
PRJ-2018-010,PRJ-2018-010-SOV-11,11,Controls - Programming & Commissioning,9,578000,534500,27500,562000,97.2,True,16000
PRJ-2018-010,PRJ-2018-010-SOV-12,12,Insulation,9,584700,542500,28400,570900,97.6,True,13800
PRJ-2018-010,PRJ-2018-010-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",9,260000,237600,16400,254000,97.7,False,6000
PRJ-2018-010,PRJ-2018-010-SOV-14,14,Startup & Commissioning Support,9,327100,300400,18800,319200,97.6,True,7900
PRJ-2018-010,PRJ-2018-010-SOV-15,15,Closeout Documentation & Training,9,130700,119000,8700,127700,97.7,False,3000
PRJ-2018-011,PRJ-2018-011-SOV-01,1,General Conditions & Project Management,13,2957500,2957400,100,2957500,100.0,False,0
PRJ-2018-011,PRJ-2018-011-SOV-02,2,Submittals & Engineering,12,1225300,1225100,200,1225300,100.0,False,0
PRJ-2018-011,PRJ-2018-011-SOV-03,3,Ductwork - Fabrication,14,3755600,3728000,22600,3750600,99.9,True,5000
PRJ-2018-011,PRJ-2018-011-SOV-04,4,Ductwork - Installation,14,5237200,5203800,30400,5234200,99.9,True,3000
PRJ-2018-011,PRJ-2018-011-SOV-05,5,Piping - Hydronic Systems,14,4800300,4737300,58700,4796000,99.9,True,4300
PRJ-2018-011,PRJ-2018-011-SOV-06,6,Piping - Refrigerant,14,1993300,1966700,24100,1990800,99.9,True,2500
PRJ-2018-011,PRJ-2018-011-SOV-07,7,Equipment - RTUs/AHUs,14,6115400,6025100,76600,6101700,99.8,True,13700
PRJ-2018-011,PRJ-2018-011-SOV-08,8,Equipment - Chillers/Boilers,14,4185600,4163200,18200,4181400,99.9,False,4200
PRJ-2018-011,PRJ-2018-011-SOV-09,9,Equipment - Terminal Units (VAV/FCU),14,4368200,4334300,27400,4361700,99.9,True,6500
PRJ-2018-011,PRJ-2018-011-SOV-10,10,Controls - DDC/BAS Installation,14,3609100,3462100,60900,3523000,97.6,True,86100
PRJ-2018-011,PRJ-2018-011-SOV-11,11,Controls - Programming & Commissioning,14,2066400,2006800,10100,2016900,97.6,False,49500
PRJ-2018-011,PRJ-2018-011-SOV-12,12,Insulation,14,1852700,1795300,13000,1808300,97.6,False,44400
PRJ-2018-011,PRJ-2018-011-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",14,1087200,1045900,17400,1063300,97.8,False,23900
PRJ-2018-011,PRJ-2018-011-SOV-14,14,Startup & Commissioning Support,14,1249900,1200900,22700,1223600,97.9,False,26300
PRJ-2018-011,PRJ-2018-011-SOV-15,15,Closeout Documentation & Training,14,785300,762700,5700,768400,97.8,True,16900
PRJ-2018-012,PRJ-2018-012-SOV-01,1,General Conditions & Project Management,14,604100,604000,100,604100,100.0,False,0
PRJ-2018-012,PRJ-2018-012-SOV-02,2,Submittals & Engineering,13,348500,348400,100,348500,100.0,False,0
PRJ-2018-012,PRJ-2018-012-SOV-03,3,Ductwork - Fabrication,17,718700,701700,14800,716500,99.7,False,2200
PRJ-2018-012,PRJ-2018-012-SOV-04,4,Ductwork - Installation,17,1010200,986100,20500,1006600,99.6,True,3600
PRJ-2018-012,PRJ-2018-012-SOV-05,5,Piping - Hydronic Systems,17,858400,838200,19200,857400,99.9,True,1000
PRJ-2018-012,PRJ-2018-012-SOV-06,6,Piping - Refrigerant,17,449800,439500,8700,448200,99.6,True,1600
PRJ-2018-012,PRJ-2018-012-SOV-07,7,Equipment - RTUs/AHUs,17,1262100,1232600,24700,1257300,99.6,True,4800
PRJ-2018-012,PRJ-2018-012-SOV-08,8,Equipment - Chillers/Boilers,17,1225800,1199800,22200,1222000,99.7,True,3800
PRJ-2018-012,PRJ-2018-012-SOV-09,9,Equipment - Terminal Units (VAV/FCU),17,578000,564800,11800,576600,99.8,True,1400
PRJ-2018-012,PRJ-2018-012-SOV-10,10,Controls - DDC/BAS Installation,17,622900,592400,14900,607300,97.5,False,15600
PRJ-2018-012,PRJ-2018-012-SOV-11,11,Controls - Programming & Commissioning,17,402200,382300,10000,392300,97.5,True,9900
PRJ-2018-012,PRJ-2018-012-SOV-12,12,Insulation,17,372900,354900,9100,364000,97.6,True,8900
PRJ-2018-012,PRJ-2018-012-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",17,264900,250800,8000,258800,97.7,False,6100
PRJ-2018-012,PRJ-2018-012-SOV-14,14,Startup & Commissioning Support,17,208600,198100,6000,204100,97.8,True,4500
PRJ-2018-012,PRJ-2018-012-SOV-15,15,Closeout Documentation & Training,17,120900,114700,3200,117900,97.5,True,3000
PRJ-2018-013,PRJ-2018-013-SOV-01,1,General Conditions & Project Management,14,261000,259700,1300,261000,100.0,False,0
PRJ-2018-013,PRJ-2018-013-SOV-02,2,Submittals & Engineering,15,127300,127200,100,127300,100.0,False,0
PRJ-2018-013,PRJ-2018-013-SOV-03,3,Ductwork - Fabrication,20,493200,488500,4400,492900,99.9,True,300
PRJ-2018-013,PRJ-2018-013-SOV-04,4,Ductwork - Installation,20,446300,439600,5600,445200,99.8,True,1100
PRJ-2018-013,PRJ-2018-013-SOV-05,5,Piping - Hydronic Systems,20,497900,491300,6300,497600,99.9,True,300
PRJ-2018-013,PRJ-2018-013-SOV-06,6,Piping - Refrigerant,20,295700,292400,2800,295200,99.8,True,500
PRJ-2018-013,PRJ-2018-013-SOV-07,7,Equipment - RTUs/AHUs,20,643300,634800,8000,642800,99.9,True,500
PRJ-2018-013,PRJ-2018-013-SOV-08,8,Equipment - Chillers/Boilers,20,440700,436200,4200,440400,99.9,True,300
PRJ-2018-013,PRJ-2018-013-SOV-09,9,Equipment - Terminal Units (VAV/FCU),20,304900,300100,4000,304100,99.7,True,800
PRJ-2018-013,PRJ-2018-013-SOV-10,10,Controls - DDC/BAS Installation,20,332400,320600,4000,324600,97.7,True,7800
PRJ-2018-013,PRJ-2018-013-SOV-11,11,Controls - Programming & Commissioning,20,184400,177700,2400,180100,97.7,True,4300
PRJ-2018-013,PRJ-2018-013-SOV-12,12,Insulation,20,173100,167100,2000,169100,97.7,True,4000
PRJ-2018-013,PRJ-2018-013-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",20,90800,87000,1800,88800,97.8,False,2000
PRJ-2018-013,PRJ-2018-013-SOV-14,14,Startup & Commissioning Support,20,119700,115500,1600,117100,97.8,True,2600
PRJ-2018-013,PRJ-2018-013-SOV-15,15,Closeout Documentation & Training,20,84300,80600,1800,82400,97.7,True,1900
PRJ-2018-014,PRJ-2018-014-SOV-01,1,General Conditions & Project Management,12,900800,900700,100,900800,100.0,False,0
PRJ-2018-014,PRJ-2018-014-SOV-02,2,Submittals & Engineering,11,384800,384500,300,384800,100.0,False,0
PRJ-2018-014,PRJ-2018-014-SOV-03,3,Ductwork - Fabrication,15,1105900,1077800,24100,1101900,99.6,True,4000
PRJ-2018-014,PRJ-2018-014-SOV-04,4,Ductwork - Installation,15,1247800,1216300,27300,1243600,99.7,True,4200
PRJ-2018-014,PRJ-2018-014-SOV-05,5,Piping - Hydronic Systems,15,1109600,1079700,25100,1104800,99.6,True,4800
PRJ-2018-014,PRJ-2018-014-SOV-06,6,Piping - Refrigerant,15,586700,571100,14000,585100,99.7,True,1600
PRJ-2018-014,PRJ-2018-014-SOV-07,7,Equipment - RTUs/AHUs,15,1386500,1347600,36600,1384200,99.8,True,2300
PRJ-2018-014,PRJ-2018-014-SOV-08,8,Equipment - Chillers/Boilers,15,1261200,1229700,27200,1256900,99.7,True,4300
PRJ-2018-014,PRJ-2018-014-SOV-09,9,Equipment - Terminal Units (VAV/FCU),15,924500,900600,23200,923800,99.9,True,700
PRJ-2018-014,PRJ-2018-014-SOV-10,10,Controls - DDC/BAS Installation,15,912500,864900,24400,889300,97.5,True,23200
PRJ-2018-014,PRJ-2018-014-SOV-11,11,Controls - Programming & Commissioning,15,489200,464300,11800,476100,97.3,True,13100
PRJ-2018-014,PRJ-2018-014-SOV-12,12,Insulation,15,507200,480100,14600,494700,97.5,True,12500
PRJ-2018-014,PRJ-2018-014-SOV-13,13,"Testing, Adjusting & Balancing (TAB)",15,404900,381100,15300,396400,97.9,False,8500
PRJ-2018-014,PRJ-2018-014-SOV-14,14,Startup & Commissioning Support,15,286000,269200,9800,279000,97.6,True,7000
PRJ-2018-014,PRJ-2018-014-SOV-15,15,Closeout Documentation & Training,15,194400,183500,6700,190200,97.8,True,4200
PRJ-2018-015,PRJ-2018-015-SOV-01,1,General Conditions & Project Management,15,1636400,1636300,100,1636400,100.0,False,0
PRJ-2018-015,PRJ-2018-015-SOV-02,2,Submittals & Engineering,14,488000,486400,1600,488000,100.0,False,0
PRJ-2018-015,PRJ-2018-015-SOV-03,3,Ductwork - Fabrication,20,2053200,2026900,23700,2050600,99.9,True,2600
