project_id,sov_line_id,actual_labor_cost,total_hours,total_ot_hours,worker_count,ot_ratio_pct,actual_material_cost,delivery_count,partial_deliveries,partial_shipment_rate_pct,total_actual_cost,estimated_labor_cost,estimated_material_cost,total_budget,cost_variance_usd,cost_variance_pct
PRJ-2018-002,PRJ-2018-002-SOV-14,34676.27,416.0,22.0,50.0,5.29,0.0,,,,34676.27,334200.0,224200.0,558400.0,523723.73,93.79
PRJ-2018-002,PRJ-2018-002-SOV-15,45692.09,500.0,40.0,58.0,8.0,0.0,,,,45692.09,335400.0,166800.0,502200.0,456507.91000000003,90.9
PRJ-2018-003,PRJ-2018-003-SOV-01,323095.50999999995,3826.0,214.0,446.0,5.59,0.0,,,,323095.50999999995,588800.0,246200.0,835000.0,511904.49000000005,61.31
PRJ-2018-003,PRJ-2018-003-SOV-02,122832.54,1408.0,52.0,170.0,3.69,0.0,,,,122832.54,154600.0,76300.0,230900.0,108067.46,46.8
PRJ-2018-003,PRJ-2018-003-SOV-03,152880.62,1826.0,74.0,221.0,4.05,360083.05000000005,6.0,0.0,0.0,512963.67000000004,864000.0,374300.0,1238300.0,725336.33,58.58
PRJ-2018-003,PRJ-2018-003-SOV-04,165415.22999999998,1868.0,104.0,219.0,5.57,351966.7,3.0,0.0,0.0,517381.93,864400.0,365900.0,1230300.0,712918.0700000001,57.95
PRJ-2018-003,PRJ-2018-003-SOV-05,145509.53999999998,1666.0,66.0,200.0,3.96,382379.63,5.0,1.0,20.0,527889.1699999999,654100.0,397500.0,1051600.0,523710.8300000001,49.8
PRJ-2018-003,PRJ-2018-003-SOV-06,83547.98999999999,990.0,52.0,118.0,5.25,238327.93,4.0,2.0,50.0,321875.92,438200.0,247700.0,685900.0,364024.08,53.07
PRJ-2018-003,PRJ-2018-003-SOV-07,82587.84,942.0,54.0,113.0,5.73,1165279.06,5.0,1.0,20.0,1247866.9000000001,415000.0,0.0,415000.0,-832866.9000000001,-200.69
PRJ-2018-003,PRJ-2018-003-SOV-08,65245.009999999995,796.0,42.0,96.0,5.28,1132370.81,3.0,1.0,33.33,1197615.82,353000.0,0.0,353000.0,-844615.8200000001,-239.27
PRJ-2018-003,PRJ-2018-003-SOV-09,183178.93,2124.0,134.0,247.0,6.31,749083.77,7.0,1.0,14.29,932262.7,263100.0,0.0,263100.0,-669162.7,-254.34
PRJ-2018-003,PRJ-2018-003-SOV-10,101720.37999999999,1188.0,66.0,141.0,5.56,302059.33999999997,8.0,1.0,12.5,403779.72,509500.0,314000.0,823500.0,419720.28,50.97
PRJ-2018-003,PRJ-2018-003-SOV-11,128815.79,1524.0,78.0,182.0,5.12,96475.87,5.0,0.0,0.0,225291.65999999997,236300.0,100300.0,336600.0,111308.34000000003,33.07
PRJ-2018-003,PRJ-2018-003-SOV-12,77078.51,918.0,50.0,111.0,5.45,197412.72999999998,4.0,1.0,25.0,274491.24,447600.0,0.0,447600.0,173108.76,38.67
PRJ-2018-003,PRJ-2018-003-SOV-13,46313.85999999999,538.0,16.0,66.0,2.97,0.0,,,,46313.85999999999,271800.0,0.0,271800.0,225486.14,82.96
PRJ-2018-003,PRJ-2018-003-SOV-14,46849.579999999994,538.0,30.0,64.0,5.58,0.0,,,,46849.579999999994,190100.0,134100.0,324200.0,277350.42,85.55
PRJ-2018-003,PRJ-2018-003-SOV-15,26443.23,330.0,10.0,41.0,3.03,0.0,,,,26443.23,132800.0,89300.0,222100.0,195656.77,88.09
PRJ-2018-003,PRJ-2018-003-SOV-25,0.0,,,,,153040.47,1.0,0.0,0.0,153040.47,,,,,
PRJ-2018-004,PRJ-2018-004-SOV-01,319643.88999999996,3736.0,212.0,437.0,5.67,0.0,,,,319643.88999999996,675100.0,337400.0,1012500.0,692856.1100000001,68.43
PRJ-2018-004,PRJ-2018-004-SOV-02,124090.87,1430.0,44.0,174.0,3.08,0.0,,,,124090.87,198700.0,85900.0,284600.0,160509.13,56.4
PRJ-2018-004,PRJ-2018-004-SOV-03,164601.90999999997,1834.0,146.0,210.0,7.96,296718.04,8.0,1.0,12.5,461319.94999999995,667300.0,294100.0,961400.0,500080.05000000005,52.02
PRJ-2018-004,PRJ-2018-004-SOV-04,144902.9,1698.0,114.0,198.0,6.71,290488.6,5.0,0.0,0.0,435391.5,818500.0,287900.0,1106400.0,671008.5,60.65
PRJ-2018-004,PRJ-2018-004-SOV-05,163800.53,1902.0,104.0,223.0,5.47,320116.03,6.0,0.0,0.0,483916.56000000006,650600.0,317300.0,967900.0,483983.43999999994,50.0
PRJ-2018-004,PRJ-2018-004-SOV-06,84169.06,970.0,56.0,117.0,5.77,133448.2,4.0,2.0,50.0,217617.26,316200.0,132200.0,448400.0,230782.74,51.47
PRJ-2018-004,PRJ-2018-004-SOV-07,84552.4,982.0,44.0,118.0,4.48,1328193.93,4.0,1.0,25.0,1412746.3299999998,328100.0,0.0,328100.0,-1084646.3299999998,-330.58
PRJ-2018-004,PRJ-2018-004-SOV-08,80366.7,982.0,30.0,120.0,3.05,960462.3500000001,4.0,1.0,25.0,1040829.05,354100.0,0.0,354100.0,-686729.05,-193.94
PRJ-2018-004,PRJ-2018-004-SOV-09,183673.97999999998,2124.0,100.0,261.0,4.71,507388.82,7.0,1.0,14.29,691062.8,119400.0,0.0,119400.0,-571662.8,-478.78
PRJ-2018-004,PRJ-2018-004-SOV-10,100419.81999999999,1174.0,86.0,140.0,7.33,354301.05,4.0,0.0,0.0,454720.87,632000.0,351200.0,983200.0,528479.13,53.75
PRJ-2018-004,PRJ-2018-004-SOV-11,140240.27,1590.0,88.0,187.0,5.53,168459.93,4.0,1.0,25.0,308700.19999999995,284800.0,167000.0,451800.0,143099.80000000005,31.67
PRJ-2018-004,PRJ-2018-004-SOV-12,88863.37999999999,1022.0,60.0,121.0,5.87,161431.94,7.0,0.0,0.0,250295.32,362500.0,0.0,362500.0,112204.68,30.95
PRJ-2018-004,PRJ-2018-004-SOV-13,43618.45,488.0,40.0,57.0,8.2,0.0,,,,43618.45,289900.0,0.0,289900.0,246281.55,84.95
PRJ-2018-004,PRJ-2018-004-SOV-14,34159.13,390.0,26.0,47.0,6.67,0.0,,,,34159.13,171700.0,65000.0,236700.0,202540.87,85.57
PRJ-2018-004,PRJ-2018-004-SOV-15,44197.439999999995,534.0,32.0,63.0,5.99,0.0,,,,44197.439999999995,84600.0,41200.0,125800.0,81602.56,64.87
PRJ-2018-004,PRJ-2018-004-SOV-19,0.0,,,,,45259.11,1.0,0.0,0.0,45259.11,,,,,
PRJ-2018-004,PRJ-2018-004-SOV-21,0.0,,,,,66809.45,1.0,0.0,0.0,66809.45,,,,,
PRJ-2018-004,PRJ-2018-004-SOV-23,0.0,,,,,19774.28,1.0,0.0,0.0,19774.28,,,,,
PRJ-2018-005,PRJ-2018-005-SOV-01,196186.25,2250.0,130.0,266.0,5.78,0.0,,,,196186.25,329600.0,241900.0,571500.0,375313.75,65.67
PRJ-2018-005,PRJ-2018-005-SOV-02,76165.86,890.0,28.0,107.0,3.15,0.0,,,,76165.86,144400.0,62200.0,206600.0,130434.14,63.13
PRJ-2018-005,PRJ-2018-005-SOV-03,88347.17,1064.0,42.0,132.0,3.95,302809.02,5.0,1.0,20.0,391156.19,527300.0,282700.0,810000.0,418843.81,51.71
PRJ-2018-005,PRJ-2018-005-SOV-04,95226.4,1062.0,72.0,124.0,6.78,394230.44999999995,3.0,0.0,0.0,489456.85,566500.0,368100.0,934600.0,445143.15,47.63
PRJ-2018-005,PRJ-2018-005-SOV-05,93798.70999999999,1072.0,48.0,125.0,4.48,232671.6,3.0,0.0,0.0,326470.31,395300.0,217200.0,612500.0,286029.69,46.7
PRJ-2018-005,PRJ-2018-005-SOV-06,54643.78,646.0,40.0,77.0,6.19,182260.18,7.0,3.0,42.86,236903.96,257600.0,170100.0,427700.0,190796.04,44.61
PRJ-2018-005,PRJ-2018-005-SOV-07,49421.7,548.0,40.0,65.0,7.3,880490.9,5.0,1.0,20.0,929912.6,168200.0,0.0,168200.0,-761712.6,-452.86
PRJ-2018-005,PRJ-2018-005-SOV-08,51148.869999999995,600.0,30.0,74.0,5.0,581533.69,4.0,0.0,0.0,632682.5599999999,198200.0,0.0,198200.0,-434482.55999999994,-219.21
PRJ-2018-005,PRJ-2018-005-SOV-09,102238.28,1162.0,50.0,139.0,4.3,437748.37,6.0,0.0,0.0,539986.65,109600.0,0.0,109600.0,-430386.65,-392.69
PRJ-2018-005,PRJ-2018-005-SOV-10,70343.84,830.0,52.0,97.0,6.27,122342.11,7.0,2.0,28.57,192685.95,305800.0,114200.0,420000.0,227314.05,54.12
PRJ-2018-005,PRJ-2018-005-SOV-11,80118.34999999999,942.0,40.0,114.0,4.25,83762.14,4.0,0.0,0.0,163880.49,150200.0,78200.0,228400.0,64519.51000000001,28.25
PRJ-2018-005,PRJ-2018-005-SOV-12,60359.17,656.0,56.0,75.0,8.54,131368.37,8.0,1.0,12.5,191727.53999999998,199300.0,0.0,199300.0,7572.460000000021,3.8
PRJ-2018-005,PRJ-2018-005-SOV-13,24597.44,260.0,18.0,31.0,6.92,0.0,,,,24597.44,106500.0,0.0,106500.0,81902.56,76.9
PRJ-2018-005,PRJ-2018-005-SOV-14,25351.379999999997,276.0,32.0,31.0,11.59,0.0,,,,25351.379999999997,109200.0,62100.0,171300.0,145948.62,85.2
PRJ-2018-005,PRJ-2018-005-SOV-15,27401.149999999998,342.0,24.0,40.0,7.02,0.0,,,,27401.149999999998,83600.0,34800.0,118400.0,90998.85,76.86
PRJ-2018-006,PRJ-2018-006-SOV-01,382588.37999999995,4472.0,208.0,529.0,4.65,0.0,,,,382588.37999999995,428600.0,280600.0,709200.0,326611.62000000005,46.05
PRJ-2018-006,PRJ-2018-006-SOV-02,129029.73,1486.0,96.0,174.0,6.46,0.0,,,,129029.73,170400.0,114200.0,284600.0,155570.27000000002,54.66
PRJ-2018-006,PRJ-2018-006-SOV-03,164417.47999999998,1904.0,114.0,223.0,5.99,308070.95,8.0,1.0,12.5,472488.43,550800.0,292000.0,842800.0,370311.57,43.94
PRJ-2018-006,PRJ-2018-006-SOV-04,184260.5,2162.0,104.0,257.0,4.81,336710.74,6.0,0.0,0.0,520971.24,652200.0,319100.0,971300.0,450328.76,46.36
PRJ-2018-006,PRJ-2018-006-SOV-05,160643.68,1838.0,98.0,218.0,5.33,324300.39,4.0,0.0,0.0,484944.07,562000.0,307300.0,869300.0,384355.93,44.21
PRJ-2018-006,PRJ-2018-006-SOV-06,76469.08,886.0,28.0,106.0,3.16,179410.19,3.0,0.0,0.0,255879.27000000002,364300.0,170000.0,534300.0,278420.73,52.11
PRJ-2018-006,PRJ-2018-006-SOV-07,91473.42,1066.0,52.0,127.0,4.88,1110412.85,4.0,0.0,0.0,1201886.27,379400.0,0.0,379400.0,-822486.27,-216.79
PRJ-2018-006,PRJ-2018-006-SOV-08,70109.5,830.0,30.0,100.0,3.61,852018.63,4.0,0.0,0.0,922128.13,278000.0,0.0,278000.0,-644128.13,-231.7
PRJ-2018-006,PRJ-2018-006-SOV-09,191144.50999999998,2164.0,142.0,252.0,6.56,631347.34,6.0,0.0,0.0,822491.85,131500.0,0.0,131500.0,-690991.85,-525.47
PRJ-2018-006,PRJ-2018-006-SOV-10,105875.06999999999,1230.0,64.0,148.0,5.2,279641.31,3.0,0.0,0.0,385516.38,381400.0,265000.0,646400.0,260883.62,40.36
PRJ-2018-006,PRJ-2018-006-SOV-11,154522.77,1852.0,98.0,218.0,5.29,176379.56,5.0,0.0,0.0,330902.32999999996,251600.0,167100.0,418700.0,87797.67000000004,20.97
PRJ-2018-006,PRJ-2018-006-SOV-12,100153.81,1136.0,58.0,136.0,5.11,187699.88,6.0,1.0,16.67,287853.69,385000.0,0.0,385000.0,97146.31,25.23
PRJ-2018-006,PRJ-2018-006-SOV-13,39625.06,468.0,24.0,56.0,5.13,0.0,,,,39625.06,157200.0,0.0,157200.0,117574.94,74.79
PRJ-2018-006,PRJ-2018-006-SOV-14,40320.11,446.0,22.0,56.0,4.93,0.0,,,,40320.11,156400.0,63500.0,219900.0,179579.89,81.66
PRJ-2018-006,PRJ-2018-006-SOV-15,44252.82,524.0,28.0,62.0,5.34,0.0,,,,44252.82,68300.0,43400.0,111700.0,67447.18,60.38
PRJ-2018-006,PRJ-2018-006-SOV-21,0.0,,,,,304599.1,1.0,0.0,0.0,304599.1,,,,,
PRJ-2018-007,PRJ-2018-007-SOV-01,204866.31,2428.0,114.0,286.0,4.7,0.0,,,,204866.31,1096200.0,651200.0,1747400.0,1542533.69,88.28
PRJ-2018-007,PRJ-2018-007-SOV-02,81000.43,898.0,34.0,108.0,3.79,0.0,,,,81000.43,465900.0,280400.0,746300.0,665299.5700000001,89.15
PRJ-2018-007,PRJ-2018-007-SOV-03,114751.13999999998,1292.0,64.0,153.0,4.95,420180.62,6.0,0.0,0.0,534931.76,860300.0,420200.0,1280500.0,745568.24,58.22
PRJ-2018-007,PRJ-2018-007-SOV-04,105473.34999999999,1212.0,60.0,149.0,4.95,909608.12,7.0,1.0,14.29,1015081.47,1384500.0,909800.0,2294300.0,1279218.53,55.76
PRJ-2018-007,PRJ-2018-007-SOV-05,92074.28,1058.0,58.0,126.0,5.48,603291.38,8.0,2.0,25.0,695365.66,1209700.0,603400.0,1813100.0,1117734.3399999999,61.65
PRJ-2018-007,PRJ-2018-007-SOV-06,43623.45,500.0,20.0,61.0,4.0,480063.8,4.0,0.0,0.0,523687.25,721800.0,480100.0,1201900.0,678212.75,56.43
PRJ-2018-007,PRJ-2018-007-SOV-07,45719.759999999995,576.0,30.0,68.0,5.21,1510346.67,7.0,2.0,28.57,1556066.43,404900.0,0.0,404900.0,-1151166.43,-284.31
PRJ-2018-007,PRJ-2018-007-SOV-08,53424.06,614.0,16.0,76.0,2.61,1625841.76,6.0,2.0,33.33,1679265.82,459400.0,0.0,459400.0,-1219865.82,-265.53
PRJ-2018-007,PRJ-2018-007-SOV-09,99814.87,1162.0,68.0,138.0,5.85,918795.98,3.0,2.0,66.67,1018610.85,374400.0,0.0,374400.0,-644210.85,-172.06
PRJ-2018-007,PRJ-2018-007-SOV-10,55021.579999999994,634.0,44.0,74.0,6.94,419308.42,7.0,3.0,42.86,474330.0,756600.0,419400.0,1176000.0,701670.0,59.67
PRJ-2018-007,PRJ-2018-007-SOV-11,74864.48,884.0,62.0,104.0,7.01,330942.92,8.0,2.0,25.0,405807.39999999997,578100.0,331000.0,909100.0,503292.60000000003,55.36
PRJ-2018-007,PRJ-2018-007-SOV-12,68818.58,786.0,26.0,97.0,3.31,326785.32999999996,7.0,1.0,14.29,395603.91,548000.0,0.0,548000.0,152396.09000000003,27.81
PRJ-2018-007,PRJ-2018-007-SOV-13,32700.67,344.0,16.0,41.0,4.65,0.0,,,,32700.67,420900.0,0.0,420900.0,388199.33,92.23
PRJ-2018-007,PRJ-2018-007-SOV-14,22776.989999999998,262.0,10.0,33.0,3.82,0.0,,,,22776.989999999998,288500.0,184400.0,472900.0,450123.01,95.18
PRJ-2018-007,PRJ-2018-007-SOV-15,15266.3,204.0,4.0,25.0,1.96,0.0,,,,15266.3,165400.0,79400.0,244800.0,229533.7,93.76
PRJ-2018-007,PRJ-2018-007-SOV-20,0.0,,,,,76871.61,1.0,1.0,100.0,76871.61,,,,,
PRJ-2018-007,PRJ-2018-007-SOV-21,0.0,,,,,33575.11,1.0,0.0,0.0,33575.11,,,,,
PRJ-2018-007,PRJ-2018-007-SOV-22,0.0,,,,,239350.83,1.0,1.0,100.0,239350.83,,,,,
PRJ-2018-008,PRJ-2018-008-SOV-01,634366.6499999999,7270.0,426.0,835.0,5.86,0.0,,,,634366.6499999999,316500.0,196400.0,512900.0,-121466.6499999999,-23.68
PRJ-2018-008,PRJ-2018-008-SOV-02,210218.84999999998,2438.0,144.0,281.0,5.91,0.0,,,,210218.84999999998,140500.0,86300.0,226800.0,16581.150000000023,7.31
PRJ-2018-008,PRJ-2018-008-SOV-03,324574.82999999996,3850.0,182.0,458.0,4.73,169187.43,4.0,1.0,25.0,493762.25999999995,438500.0,170500.0,609000.0,115237.74000000005,18.92
PRJ-2018-008,PRJ-2018-008-SOV-04,344704.98,4030.0,236.0,464.0,5.86,208821.97,6.0,0.0,0.0,553526.95,393700.0,210400.0,604100.0,50573.05000000005,8.37
PRJ-2018-008,PRJ-2018-008-SOV-05,360594.95999999996,4158.0,166.0,481.0,3.99,200969.2,3.0,0.0,0.0,561564.1599999999,389100.0,202500.0,591600.0,30035.840000000084,5.08
PRJ-2018-008,PRJ-2018-008-SOV-06,173485.22,2006.0,108.0,238.0,5.38,97260.24,5.0,1.0,20.0,270745.46,151100.0,98000.0,249100.0,-21645.46000000002,-8.69
PRJ-2018-008,PRJ-2018-008-SOV-07,160909.38999999998,1910.0,126.0,223.0,6.6,740214.1799999999,8.0,1.0,12.5,901123.57,194300.0,0.0,194300.0,-706823.57,-363.78
PRJ-2018-008,PRJ-2018-008-SOV-08,168455.97,1994.0,120.0,234.0,6.02,343038.23,3.0,1.0,33.33,511494.19999999995,122800.0,0.0,122800.0,-388694.19999999995,-316.53
PRJ-2018-008,PRJ-2018-008-SOV-09,336088.81999999995,3828.0,208.0,455.0,5.43,436246.36,7.0,2.0,28.57,772335.1799999999,137300.0,0.0,137300.0,-635035.1799999999,-462.52
PRJ-2018-008,PRJ-2018-008-SOV-10,155167.03,1818.0,106.0,215.0,5.83,158671.26,5.0,0.0,0.0,313838.29000000004,288800.0,159900.0,448700.0,134861.70999999996,30.06
PRJ-2018-008,PRJ-2018-008-SOV-11,203052.65,2402.0,120.0,289.0,5.0,102982.32,3.0,1.0,33.33,306034.97,154500.0,103700.0,258200.0,-47834.96999999997,-18.53
PRJ-2018-008,PRJ-2018-008-SOV-12,176581.12,2090.0,102.0,248.0,4.88,134812.37,3.0,0.0,0.0,311393.49,202700.0,0.0,202700.0,-108693.48999999999,-53.62
PRJ-2018-008,PRJ-2018-008-SOV-13,52892.46,622.0,36.0,74.0,5.79,0.0,,,,52892.46,106900.0,0.0,106900.0,54007.54,50.52
PRJ-2018-008,PRJ-2018-008-SOV-14,55115.329999999994,632.0,14.0,77.0,2.22,0.0,,,,55115.329999999994,79200.0,53300.0,132500.0,77384.67000000001,58.4
PRJ-2018-008,PRJ-2018-008-SOV-15,44002.93,530.0,30.0,62.0,5.66,0.0,,,,44002.93,65800.0,41200.0,107000.0,62997.07,58.88
PRJ-2018-008,PRJ-2018-008-SOV-21,0.0,,,,,16767.96,1.0,0.0,0.0,16767.96,,,,,
PRJ-2018-009,PRJ-2018-009-SOV-01,248053.59,2928.0,170.0,349.0,5.81,0.0,,,,248053.59,716700.0,514900.0,1231600.0,983546.41,79.86
PRJ-2018-009,PRJ-2018-009-SOV-02,79615.56999999999,926.0,70.0,109.0,7.56,0.0,,,,79615.56999999999,198900.0,83100.0,282000.0,202384.43,71.77
PRJ-2018-009,PRJ-2018-009-SOV-03,108352.89,1304.0,42.0,158.0,3.22,308764.86,5.0,1.0,20.0,417117.75,809000.0,298900.0,1107900.0,690782.25,62.35
PRJ-2018-009,PRJ-2018-009-SOV-04,113527.59999999999,1334.0,66.0,156.0,4.95,640240.15,7.0,2.0,28.57,753767.75,1015700.0,619900.0,1635600.0,881832.25,53.91
PRJ-2018-009,PRJ-2018-009-SOV-05,129575.43,1454.0,84.0,177.0,5.78,397013.24,5.0,2.0,40.0,526588.6699999999,1081700.0,384400.0,1466100.0,939511.3300000001,64.08
PRJ-2018-009,PRJ-2018-009-SOV-06,65528.28,724.0,58.0,83.0,8.01,323665.15,6.0,1.0,16.67,389193.43000000005,574000.0,313300.0,887300.0,498106.56999999995,56.14
PRJ-2018-009,PRJ-2018-009-SOV-07,66958.42,788.0,46.0,94.0,5.84,1762905.3399999999,4.0,1.0,25.0,1829863.7599999998,423400.0,0.0,423400.0,-1406463.7599999998,-332.18
PRJ-2018-009,PRJ-2018-009-SOV-08,47187.24,562.0,36.0,68.0,6.41,1019741.13,6.0,0.0,0.0,1066928.37,266400.0,0.0,266400.0,-800528.3700000001,-300.5
PRJ-2018-009,PRJ-2018-009-SOV-09,141844.09,1612.0,108.0,187.0,6.7,811987.58,8.0,2.0,25.0,953831.6699999999,178800.0,0.0,178800.0,-775031.6699999999,-433.46
PRJ-2018-009,PRJ-2018-009-SOV-10,71806.2,784.0,54.0,91.0,6.89,371350.08999999997,8.0,2.0,25.0,443156.29,740200.0,359500.0,1099700.0,656543.71,59.7
PRJ-2018-009,PRJ-2018-009-SOV-11,84244.64,982.0,64.0,116.0,6.52,152150.52000000002,8.0,0.0,0.0,236395.16000000003,317200.0,147300.0,464500.0,228104.83999999997,49.11
PRJ-2018-009,PRJ-2018-009-SOV-12,68943.25,760.0,38.0,92.0,5.0,215831.81,6.0,3.0,50.0,284775.06,422500.0,0.0,422500.0,137724.94,32.6
PRJ-2018-009,PRJ-2018-009-SOV-13,35967.88,402.0,16.0,49.0,3.98,0.0,,,,35967.88,252800.0,0.0,252800.0,216832.12,85.77
PRJ-2018-009,PRJ-2018-009-SOV-14,32237.059999999998,378.0,20.0,44.0,5.29,0.0,,,,32237.059999999998,190800.0,104100.0,294900.0,262662.94,89.07
PRJ-2018-009,PRJ-2018-009-SOV-15,32711.87,378.0,18.0,47.0,4.76,0.0,,,,32711.87,127700.0,66600.0,194300.0,161588.13,83.16
PRJ-2018-009,PRJ-2018-009-SOV-17,0.0,,,,,57973.88,1.0,0.0,0.0,57973.88,,,,,
PRJ-2018-009,PRJ-2018-009-SOV-19,0.0,,,,,43200.56,1.0,0.0,0.0,43200.56,,,,,
PRJ-2018-009,PRJ-2018-009-SOV-23,0.0,,,,,22648.0,1.0,0.0,0.0,22648.0,,,,,
